case_type,case_complexity,num_witnesses,num_evidence_docs,lawyer_experience,court_level,previous_adjournments,total_hearings
civil,3,5,20,10,district,2,15
criminal,5,12,50,15,high,5,40
cyber,4,3,30,8,district,3,22
civil,2,2,10,5,district,1,10
criminal,5,15,70,20,supreme,6,55
cyber,3,4,25,7,high,2,18
civil,4,6,35,12,high,3,25
criminal,4,10,60,18,district,4,35
cyber,2,2,15,6,district,1,12
civil,5,8,40,14,supreme,5,45
cyber,2,11,47,18,district,1,17
cyber,3,15,15,4,supreme,5,34
cyber,5,17,69,17,supreme,2,44
civil,4,18,8,7,high,2,30
civil,5,16,53,9,supreme,3,46
cyber,3,20,80,20,high,5,37
cyber,4,15,30,7,high,0,29
criminal,5,13,40,8,supreme,0,34
criminal,2,5,5,5,district,6,21
cyber,4,11,8,6,district,2,23
criminal,1,12,56,18,district,6,20
cyber,3,13,10,11,high,0,19
civil,4,8,42,20,district,4,24
civil,3,8,79,8,district,3,27
civil,3,10,13,17,district,0,15
criminal,5,6,14,15,supreme,6,39
civil,3,8,8,19,district,5,21
criminal,1,13,32,11,high,4,19
cyber,5,8,46,12,supreme,2,35
cyber,4,5,27,20,high,5,26
cyber,4,12,69,3,high,3,35
criminal,1,17,75,18,district,0,15
cyber,2,7,34,8,district,6,22
cyber,1,3,80,16,district,2,11
civil,3,14,72,6,supreme,5,40
civil,1,2,70,6,district,3,15
cyber,2,15,54,8,high,2,28
criminal,3,12,20,4,supreme,5,33
civil,4,15,25,5,high,4,34
criminal,1,17,60,15,supreme,4,28
criminal,3,5,25,8,district,5,21
cyber,4,11,33,9,district,6,33
cyber,2,6,59,7,district,3,22
criminal,5,17,48,16,district,4,38
cyber,4,1,21,5,high,6,29
cyber,2,14,20,3,high,4,26
criminal,5,13,80,6,high,2,42
civil,4,10,40,20,supreme,6,38
cyber,3,2,41,12,district,0,15
civil,3,7,6,19,district,0,11
cyber,4,19,16,11,high,5,36
civil,3,14,79,15,district,3,26
cyber,5,19,5,7,high,0,34
criminal,5,8,73,3,district,3,34
civil,3,1,57,4,high,1,23
civil,2,2,9,7,high,1,16
criminal,3,5,12,15,district,0,14
civil,3,5,80,20,high,3,25
cyber,1,1,64,19,supreme,1,16
cyber,3,15,65,6,high,3,35
criminal,2,8,79,18,district,5,21
civil,4,6,70,19,high,1,29
criminal,4,19,70,10,district,5,40
civil,3,19,80,10,high,5,38
criminal,3,1,46,11,supreme,2,23
cyber,3,6,46,20,district,2,18
cyber,2,14,19,5,district,0,14
cyber,1,4,24,5,district,4,12
cyber,1,17,66,20,high,2,21
civil,3,6,8,17,supreme,5,28
criminal,4,15,63,12,district,6,37
civil,3,11,19,10,district,4,22
criminal,4,14,47,17,supreme,5,41
cyber,5,2,43,10,supreme,4,37
cyber,2,9,60,17,high,5,26
cyber,4,1,18,8,supreme,3,31
cyber,5,2,37,13,district,2,23
civil,4,2,73,12,supreme,4,36
cyber,5,10,65,10,supreme,0,36
criminal,3,16,44,10,high,2,30
civil,5,18,57,16,district,4,38
cyber,4,6,13,19,supreme,5,34
cyber,3,13,32,13,supreme,1,27
civil,3,17,63,19,district,6,31
cyber,4,11,8,18,high,1,23
cyber,2,14,28,14,supreme,3,26
criminal,1,3,35,18,high,0,9
civil,1,12,10,12,district,3,12
civil,3,11,50,16,high,0,24
cyber,3,15,56,18,high,3,30
cyber,3,7,10,10,high,3,23
civil,4,19,71,11,supreme,2,41
civil,2,2,27,13,high,4,19
criminal,1,11,53,9,high,0,16
civil,4,1,77,5,district,5,28
civil,2,19,78,13,high,2,28
criminal,1,9,23,5,high,4,21
cyber,1,2,7,5,district,0,6
cyber,1,18,39,9,supreme,0,23
criminal,2,16,29,4,district,6,28
civil,2,6,73,20,high,6,28
civil,1,3,8,13,high,5,16
criminal,1,18,20,5,high,3,23
cyber,1,18,7,3,district,2,15
cyber,1,12,39,12,high,5,25
civil,4,9,54,10,district,4,31
cyber,1,20,14,12,high,6,27
civil,5,14,44,5,district,2,33
cyber,2,6,76,20,supreme,6,29
cyber,1,7,28,16,high,5,20
civil,1,20,20,9,supreme,1,23
criminal,2,1,56,7,supreme,3,23
criminal,5,12,21,16,district,0,22
civil,1,13,9,15,high,3,17
civil,2,14,72,5,supreme,2,31
civil,2,13,66,8,district,0,18
criminal,2,3,63,18,high,4,20
civil,2,11,44,10,district,0,16
cyber,5,7,29,10,supreme,4,38
civil,2,11,78,3,high,1,24
criminal,3,19,36,14,high,5,32
civil,4,12,39,7,district,2,25
cyber,3,9,42,12,district,4,25
cyber,1,1,35,10,supreme,2,15
civil,5,10,66,10,high,6,40
civil,4,1,75,11,high,0,26
cyber,4,18,34,8,supreme,2,37
cyber,3,1,33,15,high,0,18
cyber,1,8,18,6,district,4,16
cyber,3,11,5,18,high,0,16
cyber,5,4,77,5,district,0,29
cyber,3,1,63,12,high,0,22
civil,5,14,57,15,supreme,0,35
civil,5,7,49,6,district,5,33
criminal,3,14,13,19,district,5,22
civil,5,8,26,17,supreme,6,40
cyber,3,17,80,3,high,5,41
civil,4,14,45,10,high,4,34
criminal,5,15,42,11,district,5,39
cyber,2,20,31,8,supreme,5,37
criminal,2,7,15,5,supreme,5,27
criminal,4,5,29,19,district,3,24
civil,3,10,72,15,high,4,30
criminal,1,3,14,17,supreme,2,12
cyber,2,9,54,10,high,5,26
criminal,4,16,7,5,high,1,29
civil,1,8,48,20,district,4,13
criminal,4,2,8,5,supreme,6,35
civil,5,7,42,8,district,1,26
criminal,1,20,29,6,district,2,18
civil,3,18,62,17,high,4,32
criminal,3,2,71,3,supreme,2,28
criminal,4,13,67,6,district,5,37
criminal,4,5,6,14,high,3,26
cyber,4,6,49,11,high,2,30
cyber,2,13,15,9,district,2,15
criminal,2,10,38,10,district,4,22
civil,3,9,50,18,district,6,24
criminal,3,11,32,14,district,0,19
criminal,2,1,16,6,district,6,19
civil,4,1,68,15,high,4,31
cyber,4,16,34,10,district,4,30
cyber,3,4,59,6,district,1,21
cyber,3,2,36,15,district,6,24
cyber,2,18,36,3,district,6,30
civil,1,17,14,10,district,1,13
cyber,2,16,18,13,supreme,6,31
cyber,4,5,74,14,supreme,1,33
civil,2,12,73,3,high,4,30
civil,4,12,25,8,high,2,30
cyber,1,20,59,11,district,1,21
civil,2,8,31,8,supreme,6,28
criminal,3,15,45,8,district,3,26
civil,4,6,56,12,supreme,2,34
criminal,4,6,44,6,supreme,4,36
civil,2,4,16,20,district,0,8
civil,4,5,55,20,district,3,25
civil,4,1,64,18,district,6,26
criminal,2,13,64,11,district,3,22
criminal,2,16,22,8,district,1,19
civil,1,17,40,7,high,5,25
cyber,5,5,28,15,district,0,20
cyber,4,20,60,15,high,4,37
civil,2,17,42,4,high,4,27
civil,4,6,61,6,supreme,6,42
civil,4,20,22,11,supreme,1,37
criminal,5,10,38,18,high,5,38
cyber,4,5,79,11,high,0,29
cyber,3,15,69,15,high,2,31
civil,1,6,67,20,high,4,19
criminal,1,13,13,20,supreme,5,23
cyber,5,6,55,4,supreme,0,34
civil,5,4,78,4,district,0,30
civil,5,14,19,20,supreme,3,36
civil,1,19,25,5,district,4,20
civil,1,11,49,10,high,3,20
criminal,5,11,19,5,district,4,31
criminal,1,19,10,15,supreme,0,18
civil,5,8,29,4,district,1,25
civil,5,19,33,9,district,3,35
cyber,2,19,38,7,high,5,30
criminal,3,5,66,4,district,1,23
cyber,2,16,42,10,district,5,27
civil,5,9,14,16,supreme,1,32
cyber,4,1,62,20,district,5,27
criminal,1,8,78,7,supreme,0,23
civil,2,7,57,9,supreme,1,22
cyber,5,15,66,7,high,0,35
cyber,5,8,77,18,supreme,5,44
civil,1,12,73,12,supreme,2,23
criminal,5,4,35,6,supreme,4,39
civil,2,7,55,15,district,0,14
cyber,4,1,55,5,district,4,29
civil,5,3,76,10,high,0,32
civil,5,6,46,13,district,1,25
criminal,4,8,78,7,supreme,4,38
civil,3,5,77,13,supreme,6,37
cyber,3,2,27,14,high,2,18
civil,2,9,70,8,supreme,4,33
criminal,2,17,10,7,supreme,4,29
criminal,1,15,20,8,high,0,14
criminal,1,5,30,12,district,2,9
civil,2,7,27,19,high,4,22
cyber,5,16,8,11,district,2,29
civil,2,8,75,15,high,4,27
cyber,5,5,62,13,district,6,36
civil,2,15,45,16,high,1,23
criminal,3,19,37,9,supreme,1,34
criminal,3,3,46,9,supreme,5,32
civil,5,8,30,10,high,6,38
civil,5,2,46,9,district,1,24
criminal,4,9,45,13,supreme,0,29
criminal,1,6,56,7,high,3,19
cyber,4,1,15,7,supreme,3,27
civil,5,15,60,9,district,4,39
civil,1,15,40,11,high,6,24
cyber,2,20,61,5,supreme,2,33
cyber,2,10,28,12,district,0,14
criminal,5,5,23,13,supreme,4,34
civil,3,7,6,12,district,5,20
criminal,3,4,74,11,district,1,22
cyber,5,13,57,10,supreme,1,41
criminal,1,13,66,15,high,6,27
criminal,2,2,41,4,supreme,3,26
civil,3,5,24,6,district,3,20
criminal,5,18,12,4,high,4,37
cyber,2,6,10,11,high,4,17
civil,4,5,69,17,supreme,4,38
civil,3,3,17,5,supreme,0,23
civil,4,6,17,20,district,1,16
civil,4,17,53,13,district,3,31
cyber,4,14,52,20,supreme,5,39
criminal,2,13,71,20,supreme,3,31
civil,3,16,73,14,supreme,6,42
cyber,3,12,56,16,supreme,0,27
criminal,3,10,6,12,supreme,3,29
civil,2,9,30,18,supreme,0,20
cyber,5,13,69,15,supreme,0,36
cyber,1,4,16,20,high,0,7
criminal,5,5,55,13,district,6,36
criminal,1,15,44,18,high,4,24
cyber,1,6,67,11,supreme,3,26
cyber,3,18,33,11,high,2,27
cyber,1,18,72,16,district,3,21
cyber,3,13,75,13,district,4,27
cyber,2,2,41,5,district,2,13
criminal,2,16,64,7,high,3,28
cyber,5,1,71,14,supreme,0,31
criminal,5,19,34,11,supreme,0,37
civil,5,17,25,5,high,5,39
civil,5,6,46,10,high,3,33
criminal,2,13,17,12,high,3,21
civil,5,8,55,8,high,0,30
criminal,5,15,65,13,high,1,34
civil,1,15,38,9,supreme,2,26
cyber,4,8,47,7,district,2,26
civil,3,17,26,13,district,4,27
